units,n,kge,r,alpha,beta,r2,rmse,mae,nrmse,group,aridity_tier,month,seed
fwi,16507,0.7552972875203906,0.8213606475740262,0.8401526027792592,0.9508450525230492,0.6626666257374043,13.508030142584598,10.50586183605036,0.580804075624987,Semi-Arid|9,Semi-Arid,9,2
fwi,2839,0.5694386854670381,0.6687463122577818,0.7310647953310613,1.0576879157121246,0.43522163816151693,7.405771014560443,5.944639184724154,0.7515173729452189,Sub-Humid|1,Sub-Humid,1,2
fwi,2839,0.6197847147973039,0.8062716056013792,0.7061545911253444,0.8561672916587244,0.5961169905397852,13.761288678096243,10.490328554693068,0.635517906482748,Sub-Humid|10,Sub-Humid,10,2
fwi,3006,0.31404453881990213,0.6583980961438767,0.42863308710653225,0.834522252688583,0.323852015175216,13.603441488784041,9.109346186551722,0.8222821807778543,Sub-Humid|11,Sub-Humid,11,2
fwi,2839,0.6078339030418398,0.6974318214000952,0.7511783672916783,1.0182904346175328,0.4828383007099334,9.264471651069785,6.473319018236735,0.71913955480843,Sub-Humid|12,Sub-Humid,12,2
fwi,2672,0.6050680181575581,0.6608769100651374,0.8062142022116767,1.058428287075466,0.4050848494038777,5.932837616821644,4.563695364439265,0.7713074293666063,Sub-Humid|2,Sub-Humid,2,2
fwi,3006,0.4865135492619531,0.6934952046798902,0.6049333247874782,0.8831861837201691,0.4324671916705707,9.767028606774483,7.0019122650201675,0.7533477340043105,Sub-Humid|3,Sub-Humid,3,2
fwi,3006,0.7672242362254235,0.8024676700132444,0.9082816785991218,0.9178216310076299,0.6032950265937365,8.776954231487332,6.791792888548611,0.6298451979703135,Sub-Humid|4,Sub-Humid,4,2
fwi,2839,0.8589403124757704,0.8878844429903086,1.0254171507908798,1.0817429248712915,0.7571784294720922,8.634846509034961,6.498699329390987,0.492769287322077,Sub-Humid|5,Sub-Humid,5,2
fwi,2839,0.8087159608407513,0.8460502867974686,0.8864800653344991,0.9984854454530274,0.7141603839989294,10.821441141700237,8.267546336937007,0.5346397067194604,Sub-Humid|6,Sub-Humid,6,2
fwi,3006,0.8388020656830193,0.8721403963144896,0.9037146229132144,0.9808735279598837,0.7580446401404735,8.635839285533745,6.709602271616174,0.4918895809625637,Sub-Humid|7,Sub-Humid,7,2
fwi,3006,0.6901410914189381,0.7344206840356986,0.8538006025391557,0.9359226534486116,0.48817899949836474,9.871455790386612,7.578562951155808,0.7154166621638297,Sub-Humid|8,Sub-Humid,8,2
fwi,2839,0.6837325675922274,0.8958846624720266,0.7484025677857197,0.8391155153645268,0.7052740703310865,12.248415250578107,9.485662257395633,0.5428866637419946,Sub-Humid|9,Sub-Humid,9,2
fwi,9741,0.6653853543382866,0.7425903412938588,0.8011481374089222,1.0785185674866848,0.5317414688038788,14.646581306594108,11.231489042344624,0.6842941846867625,Arid|1,Arid,1,3
