cell_id,centroid_mean,lon,lat
511,30.17735562623532,-110.25,31.75
512,30.026758765519705,-110.0,31.75
513,29.971333555866014,-109.75,31.75
514,29.875525648698947,-109.5,31.75
515,30.412483364867512,-109.25,31.75
516,30.116276185775998,-109.0,31.75
517,30.070702148399924,-108.75,31.75
518,30.108180801688622,-108.5,31.75
519,30.064975883968426,-108.25,31.75
520,30.124037257346433,-106.0,31.75
521,30.180386577598536,-105.75,31.75
522,30.0201429783192,-105.5,31.75
523,30.179455589545586,-105.25,31.75
524,29.87522293908226,-105.0,31.75
525,29.844665821373034,-104.75,31.75
526,29.917192249075296,-104.5,31.75
527,29.941720491055793,-104.25,31.75
528,30.096329873940423,-104.0,31.75
529,30.172053987964038,-103.75,31.75
530,30.246389179801692,-103.5,31.75
531,30.272425495855995,-103.25,31.75
532,30.210760990853977,-103.0,31.75
533,30.186333043241085,-102.75,31.75
534,30.338543809119773,-102.5,31.75
535,30.29817233151586,-102.25,31.75
536,30.143388703331137,-102.0,31.75
537,30.142607574095912,-101.75,31.75
538,30.44573113406883,-101.25,31.75
539,30.391309550222314,-101.0,31.75
540,30.31749361409591,-100.75,31.75
541,30.313263662304962,-100.5,31.75
542,30.416770729128846,-100.25,31.75
543,30.336138323571785,-100.0,31.75
544,30.252929684665734,-99.75,31.75
545,30.24559592553683,-99.5,31.75
546,30.256139984244676,-99.25,31.75
547,30.20458501685957,-98.75,31.75
548,30.234310270452763,-98.5,31.75
549,30.08205359055025,-98.25,31.75
550,29.94580237761301,-98.0,31.75
551,29.94479493979508,-97.75,31.75
552,29.98968550724049,-97.5,31.75
553,30.191197620192096,-97.25,31.75
554,30.529057392049044,-96.75,31.75
555,30.513244523263822,-96.5,31.75
556,30.647505258588353,-96.25,31.75
557,30.59581221632946,-96.0,31.75
558,30.749698215233646,-95.5,31.75
559,30.687153053543835,-95.25,31.75
560,30.951884823694574,-95.0,31.75
561,30.918947924579978,-94.75,31.75
562,30.87654054345778,-94.5,31.75
563,30.976414383189805,-94.25,31.75
564,28.442381940361184,-94.0,31.75
565,30.245074364647735,-113.0,32.0
566,30.189887125107745,-112.75,32.0
567,30.144131185916756,-112.5,32.0
568,30.127236660811693,-112.25,32.0
569,30.20727207693003,-112.0,32.0
570,30.42084479852705,-111.75,32.0
571,30.376754037740355,-111.5,32.0
572,30.277930099355917,-111.25,32.0
573,30.257940663920287,-111.0,32.0
574,30.03522613449828,-110.75,32.0
575,30.228018927683408,-110.5,32.0
576,30.197938944786213,-110.25,32.0
577,30.09478450589142,-110.0,32.0
578,30.16117250233835,-109.75,32.0
579,29.9283333779044,-109.5,32.0
580,30.304117109736232,-109.25,32.0
581,30.099453094507155,-109.0,32.0
582,30.254063102654,-108.75,32.0
583,30.27899291102837,-108.5,32.0
584,30.261488919587393,-108.25,32.0
585,30.22199427738311,-108.0,32.0
586,30.17209059225458,-107.75,32.0
587,30.097750986932972,-107.5,32.0
588,29.971198535978775,-107.25,32.0
589,29.867777939899288,-107.0,32.0
590,30.31674560608987,-106.75,32.0
591,30.258079143357463,-106.5,32.0
592,30.065331099120577,-106.25,32.0
593,30.093052889274148,-106.0,32.0
594,30.094681469390007,-105.75,32.0
595,30.13248533374952,-105.5,32.0
596,30.04939269492752,-105.25,32.0
597,29.695644841571966,-105.0,32.0
598,29.885858806642666,-104.75,32.0
599,29.608628379742957,-104.5,32.0
600,29.85471989133601,-104.25,32.0
601,30.10649119423201,-104.0,32.0
602,30.171911319446874,-103.75,32.0
603,30.212917311092426,-103.5,32.0
604,30.281418272269477,-103.25,32.0
605,30.152105884812325,-103.0,32.0
606,30.375006511838784,-102.75,32.0
607,30.28585676818665,-102.5,32.0
608,30.271760978845684,-102.25,32.0
609,30.33232846248743,-101.75,32.0
610,30.406026924830467,-101.5,32.0
611,30.504957272492064,-101.25,32.0
612,30.51747346729882,-101.0,32.0
613,30.382878802868966,-100.75,32.0
614,30.29200076621223,-100.5,32.0
615,30.320667458530245,-100.25,32.0
616,30.33618095908717,-100.0,32.0
617,30.302608410572596,-99.75,32.0
618,30.331955182576515,-99.5,32.0
619,30.34433585748775,-99.25,32.0
620,30.3250838900276,-99.0,32.0
621,30.368131460057786,-98.75,32.0
622,30.276314095000718,-98.5,32.0
623,30.25018928697458,-98.25,32.0
624,29.980338762816526,-98.0,32.0
625,29.97172822527668,-97.75,32.0
626,30.02695778100483,-97.5,32.0
627,30.475884890233058,-97.25,32.0
628,30.485301542731648,-96.75,32.0
629,30.491677913505836,-96.5,32.0
630,30.572333675455482,-96.25,32.0
631,30.747476343969957,-96.0,32.0
632,30.641642408864126,-95.75,32.0
633,30.718636759803093,-95.5,32.0
634,30.827193360200347,-95.25,32.0
635,30.929986695727656,-95.0,32.0
636,30.986631344724,-94.75,32.0
637,30.992655010652154,-94.5,32.0
638,31.09130583995004,-94.25,32.0
639,30.37060090603504,-113.75,32.25
640,30.232204945881115,-113.5,32.25
641,29.916013936630826,-113.25,32.25
